1991,20000
1997,50000
1999,1000
1999,5000
1999,2000
1999,2000
1999,1000
1999,1000
1999,1000
1999,500
1999,1000
1999,5000
1999,1000
1999,2000
1999,1000
1999,1000
1999,2000
2000,1000
2000,3000
2000,2000
2000,2000
2000,1000
2000,3000
2000,1000
2000,2000
2000,1001
2001,1000
2001,1000
2001,2000
2001,2000
2001,1000
2001,5000
2001,1000
2001,15148.37
2001,1000
2001,1000
2001,501
2002,2000
2002,1000
2003,5000
2003,5000
2004,3000
2004,2000
2004,3000
2004,5000
2004,2000
2004,2000
2005,2000
2005,500
2006,1000
2006,2500
2006,1000
2006,1000
2007,3000
2007,3000
2007,1100
2007,1500
2007,1000
2007,4000
2007,5000
2007,1000
2007,1000
2008,5000
2008,3000
2008,4000
2008,1000
2009,3000
2009,3000
2009,5000
2009,3000
2011,1400
